Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,W,D,L,Performance CS,Performance CS%,Performance PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Year,Rk
Jordan Pickford,ENG,GK,Everton,24,1994,38,38,"3,420",38,1.21,1.21,3.45,2.29,66.4,0.39,0.24,0.37,0.37,36.8,0.13,0.05,0.08,0,60,2018,31
Sergio Rico,ESP,GK,Fulham,24,1993,29,29,"2,610",29,1.93,1.93,5.52,3.76,67.5,0.21,0.1,0.69,0.17,17.2,0.14,0.14,0,0,0,2018,32
John Ruddy,ENG,GK,Wolves,31,1986,1,1,90,1,0,0,3,3,100,1,0,0,1,100,0,0,0,0,,2018,33
Mathew Ryan,AUS,GK,Brighton,26,1992,34,34,"3,060",34,1.62,1.62,4.12,2.74,66.4,0.24,0.24,0.53,0.18,17.6,0.24,0.24,0,0,0,2018,34
Kasper Schmeichel,DEN,GK,Leicester City,31,1986,38,38,"3,420",38,1.26,1.26,3.5,2.37,67.7,0.39,0.18,0.42,0.26,26.3,0.13,0.13,0,0,0,2018,35
JuliÃ¡n Speroni,ARG,GK,Crystal Palace,39,1979,1,1,90,1,4,4,10,6,60,0,0,1,0,0,0,0,0,0,,2018,36
Mark Travers,IRL,GK,Bournemouth,19,1999,2,2,180,2,2.5,2.5,6.5,4.5,61.5,0.5,0,0.5,0.5,50,0,0,0,0,,2018,37
Michel Vorm,NED,GK,Tottenham,34,1983,2,2,180,2,2,2,6.5,4.5,69.2,0,0,1,0,0,0,0,0,0,,2018,38
AdriÃ¡n,ESP,GK,West Ham,30,1987,19,19,"1,710",19,1.53,1.53,5.05,3.47,70.8,0.37,0.32,0.32,0.32,31.6,0.05,0.05,0,0,0,2017,1
Asmir BegoviÄ‡,BIH,GK,Bournemouth,30,1987,38,38,"3,420",38,1.61,1.61,4.5,2.97,65.5,0.29,0.29,0.42,0.16,15.8,0.11,0.05,0.03,0.03,33.3,2017,2
Claudio Bravo,CHI,GK,Manchester City,34,1983,3,2,226,2.5,0.4,0.4,2,1.6,80,0.8,0,0,0.4,50,0,0,0,0,,2017,3
Jack Butland,ENG,GK,Stoke City,24,1993,35,35,"3,150",35,1.74,1.74,5.66,4.11,71.7,0.2,0.31,0.49,0.17,17.1,0.14,0.14,0,0,0,2017,4
Willy Caballero,ARG,GK,Chelsea,35,1981,3,3,270,3,1.33,1.33,4,2.67,66.7,0.33,0.33,0.33,0.33,33.3,0,0,0,0,,2017,5
Petr ÄŒech,CZE,GK,Arsenal,35,1982,34,34,"3,039",33.8,1.42,1.42,3.82,2.49,66.7,0.47,0.18,0.36,0.33,32.4,0.18,0.15,0.03,0,16.7,2017,6
Thibaut Courtois,BEL,GK,Chelsea,25,1992,35,35,"3,150",35,0.97,0.97,2.97,2.09,69.2,0.57,0.17,0.26,0.43,42.9,0.06,0.06,0,0,0,2017,7
Karl Darlow,ENG,GK,Newcastle Utd,26,1990,10,10,900,10,1.5,1.5,4.4,3.3,72.7,0.1,0.5,0.4,0.2,20,0.3,0.3,0,0,0,2017,8
Martin DÃºbravka,SVK,GK,Newcastle Utd,28,1989,12,12,"1,080",12,0.92,0.92,3.08,2.17,70.3,0.5,0.08,0.42,0.33,33.3,0.08,0,0.08,0,100,2017,9
Ederson,BRA,GK,Manchester City,23,1993,36,36,"3,194",35.5,0.73,0.73,2.17,1.46,66.2,0.85,0.11,0.06,0.45,44.4,0.08,0,0.06,0.03,100,2017,10
Rob Elliot,IRL,GK,Newcastle Utd,31,1986,16,16,"1,440",16,1.31,1.31,4,2.81,68.8,0.31,0.13,0.56,0.19,18.8,0.13,0.06,0.06,0,50,2017,11
Åukasz FabiaÅ„ski,POL,GK,Swansea City,32,1985,38,38,"3,420",38,1.47,1.47,4.79,3.39,70.9,0.21,0.24,0.55,0.24,23.7,0.18,0.08,0.08,0.03,50,2017,12
Fraser Forster,ENG,GK,Southampton,29,1988,20,20,"1,800",20,1.5,1.5,4.9,3.35,69.4,0.2,0.35,0.45,0.2,20,0.05,0,0.05,0,100,2017,13
Ben Foster,ENG,GK,West Brom,34,1983,37,37,"3,330",37,1.49,1.49,4.11,2.65,64.5,0.16,0.32,0.51,0.27,27,0.03,0.03,0,0,0,2017,14
Paulo Gazzaniga,ARG,GK,Tottenham,25,1992,1,1,90,1,0,0,3,3,100,1,0,0,1,100,0,0,0,0,,2017,15
David de Gea,ESP,GK,Manchester Utd,26,1990,37,37,"3,330",37,0.76,0.76,3.76,3.05,80.6,0.65,0.16,0.19,0.49,48.6,0.03,0.03,0,0,0,2017,16
Heurelho Gomes,BRA,GK,Watford,36,1981,24,24,"2,128",23.6,1.69,1.69,4.11,2.54,61.9,0.3,0.21,0.51,0.21,20.8,0.13,0.13,0,0,0,2017,17
Lee Grant,ENG,GK,Stoke City,34,1983,3,3,270,3,2.33,2.33,4.67,2.33,50,0,0.33,0.67,0.33,33.3,0,0,0,0,,2017,18
Ben Hamer,ENG,GK,Leicester City,29,1987,4,3,275,3.1,2.26,2.29,3.87,1.94,50,0,0.32,0.65,0.32,33.3,0.32,0.32,0,0,0,2017,19
Joe Hart,ENG,GK,West Ham,30,1987,19,19,"1,710",19,2.05,2.05,4.42,2.47,58.3,0.16,0.32,0.53,0.21,21.1,0.26,0.21,0.05,0,20,2017,20
Tom Heaton,ENG,GK,Burnley,31,1986,4,4,305,3.4,1.18,1.18,3.82,2.65,69.2,0.29,0.29,0.29,0,0,0,0,0,0,,2017,21
Wayne Hennessey,WAL,GK,Crystal Palace,30,1987,27,27,"2,430",27,1.52,1.52,4.7,3.3,68.5,0.3,0.22,0.48,0.26,25.9,0.04,0.04,0,0,0,2017,22
Eldin JakupoviÄ‡,SUI,GK,Leicester City,32,1984,2,2,180,2,3,3,6,3.5,50,0.5,0,0.5,0,0,0,0,0,0,,2017,23
Loris Karius,GER,GK,Liverpool,24,1993,19,19,"1,710",19,0.74,0.74,2.16,1.47,70.7,0.58,0.26,0.16,0.53,52.6,0.16,0.11,0.05,0,33.3,2017,24
Orestis Karnezis,GRE,GK,Watford,32,1985,15,14,"1,292",14.4,1.67,1.67,3.75,2.29,61.1,0.28,0.21,0.49,0.28,28.6,0.21,0.21,0,0,0,2017,25
Hugo Lloris,FRA,GK,Tottenham,30,1986,36,36,"3,240",36,0.97,0.97,3.22,2.28,71.6,0.61,0.19,0.19,0.42,41.7,0.08,0.06,0.03,0,33.3,2017,26
Jonas LÃ¶ssl,DEN,GK,Huddersfield,28,1989,38,38,"3,420",38,1.5,1.5,4.03,2.55,65.4,0.24,0.26,0.5,0.26,26.3,0.16,0.11,0.05,0,33.3,2017,27
Alex McCarthy,ENG,GK,Southampton,27,1989,18,18,"1,620",18,1.44,1.44,3.72,2.28,62.7,0.17,0.44,0.39,0.22,22.2,0.06,0.06,0,0,0,2017,28
Simon Mignolet,BEL,GK,Liverpool,29,1988,19,19,"1,710",19,1.26,1.26,2.89,1.68,60,0.53,0.37,0.11,0.37,36.8,0.16,0.11,0.05,0,33.3,2017,29
Boaz Myhill,WAL,GK,West Brom,34,1982,1,1,90,1,1,1,3,2,66.7,0,1,0,0,0,0,0,0,0,,2017,30
David Ospina,COL,GK,Arsenal,28,1988,5,4,381,4.2,0.71,0.71,3.1,2.38,76.9,0.71,0,0.24,0.48,50,0,0,0,0,,2017,31
Jordan Pickford,ENG,GK,Everton,23,1994,38,38,"3,420",38,1.53,1.53,4.61,3.13,68.6,0.34,0.26,0.39,0.26,26.3,0.13,0.08,0.03,0.03,25,2017,32
Nick Pope,ENG,GK,Burnley,25,1992,35,34,"3,115",34.6,1.01,1.01,4.25,3.29,78.2,0.38,0.32,0.32,0.32,32.4,0.14,0.09,0.03,0.03,25,2017,33
Sergio Romero,ARG,GK,Manchester Utd,30,1987,1,1,90,1,0,0,4,4,100,1,0,0,1,100,0,0,0,0,,2017,34
Mathew Ryan,AUS,GK,Brighton,25,1992,38,38,"3,420",38,1.42,1.42,4.5,3.18,69,0.24,0.34,0.42,0.26,26.3,0.08,0.03,0.05,0,66.7,2017,35
Kasper Schmeichel,DEN,GK,Leicester City,30,1986,33,33,"2,965",32.9,1.43,1.43,4.16,2.77,66.4,0.33,0.3,0.36,0.24,24.2,0.09,0.03,0.06,0,66.7,2017,36
JuliÃ¡n Speroni,ARG,GK,Crystal Palace,38,1979,11,11,990,11,1.27,1.27,3.64,2.45,67.5,0.27,0.45,0.27,0.18,18.2,0.09,0.09,0,0,0,2017,37
Michel Vorm,NED,GK,Tottenham,33,1983,1,1,90,1,1,1,4,4,75,0,1,0,0,0,0,0,0,0,,2017,38
