Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,W,D,L,Performance CS,Performance CS%,Performance PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Year,Rk
Robert SÃ¡nchez,ESP,GK,Brighton,24,1997,28,28,"2,519",28,1.21,1.21,4.07,2.93,72.8,0.25,0.43,0.32,0.25,25,0.14,0.11,0,0.04,0,2021,34
Kasper Schmeichel,DEN,GK,Leicester City,35,1986,27,27,"2,430",27,1.7,1.7,4.93,3.48,69.9,0.37,0.22,0.41,0.19,18.5,0.3,0.22,0.04,0.04,14.3,2021,35
Jason Steele,ENG,GK,Brighton,31,1990,1,1,90,1,2,2,5,3,60,0,0,1,0,0,0,0,0,0,,2021,36
Jed Steer,ENG,GK,Aston Villa,29,1992,1,1,90,1,3,3,4,1,25,0,0,1,0,0,0,0,0,0,,2021,37
Zack Steffen,USA,GK,Manchester City,26,1995,1,1,90,1,0,0,2,2,100,1,0,0,1,100,0,0,0,0,,2021,38
Freddie Woodman,ENG,GK,Newcastle Utd,25,1997,4,4,360,4,3,3,4.75,2.25,47.4,0,0.25,0.75,0,0,0.75,0.5,0.25,0,33.3,2021,39
AdriÃ¡n,ESP,GK,Liverpool,33,1987,3,3,270,3,3,3,6.33,3.33,52.6,0.33,0.33,0.33,0.33,33.3,0,0,0,0,,2020,1
RÃºnar Alex RÃºnarsson,ISL,GK,Arsenal,25,1995,1,0,16,0.2,0,0,10,10,100,0,0,0,0,,0,0,0,0,,2020,2
Alisson,BRA,GK,Liverpool,27,1992,33,33,"2,970",33,0.97,0.97,3.36,2.48,74.8,0.55,0.24,0.21,0.3,30.3,0.24,0.12,0.03,0.09,20,2020,3
Alphonse Areola,FRA,GK,Fulham,27,1993,36,36,"3,240",36,1.33,1.33,4.33,3.17,73.1,0.14,0.36,0.5,0.25,25,0.17,0.17,0,0,0,2020,4
Kepa Arrizabalaga,ESP,GK,Chelsea,25,1994,7,6,585,6.5,1.23,1.23,3.38,2.31,68.2,0.31,0.31,0.31,0.31,33.3,0.15,0.15,0,0,0,2020,5
Jack Butland,ENG,GK,Crystal Palace,27,1993,1,1,90,1,2,2,5,3,60,1,0,0,0,0,0,0,0,0,,2020,6
David Button,ENG,GK,West Brom,31,1989,1,1,90,1,2,2,7,5,71.4,1,0,0,0,0,0,0,0,0,,2020,7
Willy Caballero,ARG,GK,Chelsea,38,1981,1,1,90,1,3,3,3,0,0,0,1,0,0,0,0,0,0,0,,2020,8
Scott Carson,ENG,GK,Manchester City,34,1985,1,1,90,1,3,3,3,1,33.3,1,0,0,0,0,2,1,1,0,50,2020,9
Kiko Casilla,ESP,GK,Leeds United,33,1986,3,3,270,3,0.67,0.67,4,3.33,83.3,0.67,0,0.33,0.33,33.3,0,0,0,0,,2020,10
Karl Darlow,ENG,GK,Newcastle Utd,29,1990,25,25,"2,250",25,1.72,1.72,4.8,3.24,66.7,0.28,0.16,0.56,0.16,16,0.16,0.12,0.04,0,25,2020,11
Martin DÃºbravka,SVK,GK,Newcastle Utd,31,1989,13,13,"1,170",13,1.46,1.46,4.54,3.23,69.5,0.38,0.38,0.23,0.23,23.1,0.08,0.08,0,0,0,2020,12
Ederson,BRA,GK,Manchester City,26,1993,36,36,"3,240",36,0.78,0.78,2.33,1.75,75,0.69,0.14,0.17,0.53,52.8,0.22,0.19,0.03,0,12.5,2020,13
